section_id,message_ar,message_en
16,عيد الأضحى يكتب على الأرواح معنى القرب من الله ومعنى الطمأنينة وتغدو الخطوات أثبت حين يحملها اليقين وعساكم من عوّاده بكل خير وبركات.,"Eid Al-Adha brings meaning, peace, and renewed faith. May your celebration be filled with blessings, warmth, and heartfelt joy that follows you through every path you take."
16,مع كل عيد أضحى نجد أن السلام قريب لمن يبحث عنه بقلب صادق وتصير الأيام أكثر لطفًا وبهاءً مما كانت وعساكم تعودونه وأنتم في أحسن حال.,"Eid Al-Adha brings meaning, peace, and renewed faith. May your celebration be filled with blessings, warmth, and heartfelt joy that follows you through every path you take."
16,في صباح عيد الأضحى يتبدل الصمت فرحًا وتبدأ الأرواح حديثًا جديدًا مع السماء وتولد داخلنا رغبة جديدة للحياة كما يجب وجعل الله منازلكم عامرة بالخير دائمًا.,"Eid Al-Adha brings meaning, peace, and renewed faith. May your celebration be filled with blessings, warmth, and heartfelt joy that follows you through every path you take."
16,عيد الأضحى نافذة يطلّ منها القلب على عالم أوسع من الرجاء وتتوهج الروح بنور يليق بجمال الموسم وأسأل الله أن يعيده عليكم بالأمان واليُسر.,"Eid Al-Adha brings meaning, peace, and renewed faith. May your celebration be filled with blessings, warmth, and heartfelt joy that follows you through every path you take."
16,عيد الأضحى يهبّ على القلوب كريح طيبة تحمل معها معنى التضحية والامتنان فتتفتح الأماني كزهور تسقيها الطمأنينة فعيدكم مبارك، ونسأل الله أن يكتب لكم فرحًا لا ينطفئ.,"Eid Al-Adha brings meaning, peace, and renewed faith. May your celebration be filled with blessings, warmth, and heartfelt joy that follows you through every path you take."
16,في بهجة عيد الأضحى يشعر القلب بأن الخير ما زال قائمًا مهما تبدلت الأيام وتجد القلوب قوتها في لحظة صدق واحدة وعيدكم مبارك بفرحٍ يليق بقلوبكم.,"Eid Al-Adha brings meaning, peace, and renewed faith. May your celebration be filled with blessings, warmth, and heartfelt joy that follows you through every path you take."
16,عيد الأضحى يطرق الأبواب محمّلًا بنور الإيمان وسكينة الرضا وتقترب المسافات بين البشر بكلمة طيبة وعيدكم سعيد بنور الإيمان وجمال العطاء.,"Eid Al-Adha brings meaning, peace, and renewed faith. May your celebration be filled with blessings, warmth, and heartfelt joy that follows you through every path you take."
16,يأتي عيد الأضحى ليذكّرنا بأن العطاء باب لا يُغلق وأن الرحمة طريق لا ينتهي ويشعر القلب أن الفرح قدرٌ لا يفوته وجعل الله أيامكم عامرة بالطمأنينة والمحبة.,"Eid Al-Adha brings meaning, peace, and renewed faith. May your celebration be filled with blessings, warmth, and heartfelt joy that follows you through every path you take."
16,عيد الأضحى موسم تتجدد فيه الأرواح وتتهذب فيه النوايا وتتطهر القلوب ويعود النور إلى تفاصيل الحياة الصغيرة ونسأل الله أن يكتب لكم من كل دعاء نصيبًا.,"Eid Al-Adha brings meaning, peace, and renewed faith. May your celebration be filled with blessings, warmth, and heartfelt joy that follows you through every path you take."
16,في عيد الأضحى نكتشف أن الفرح الحقيقي يبدأ حين يكون القلب حاضرًا ويشعر الإنسان أن الدعاء لم يذهب هباءً ونسأل الله أن يجعل القادم أجمل مما مضى.,"Eid Al-Adha brings meaning, peace, and renewed faith. May your celebration be filled with blessings, warmth, and heartfelt joy that follows you through every path you take."
16,عيد الأضحى يكتب على الأرواح معنى القرب من الله ومعنى الطمأنينة وتغدو الخطوات أثبت حين يحملها اليقين وعساكم من عوّاده بكل خير وبركات.,"Eid Al-Adha brings meaning, peace, and renewed faith. May your celebration be filled with blessings, warmth, and heartfelt joy that follows you through every path you take."
16,مع كل عيد أضحى نجد أن السلام قريب لمن يبحث عنه بقلب صادق وتصير الأيام أكثر لطفًا وبهاءً مما كانت وعساكم تعودونه وأنتم في أحسن حال.,"Eid Al-Adha brings meaning, peace, and renewed faith. May your celebration be filled with blessings, warmth, and heartfelt joy that follows you through every path you take."
16,في صباح عيد الأضحى يتبدل الصمت فرحًا وتبدأ الأرواح حديثًا جديدًا مع السماء وتولد داخلنا رغبة جديدة للحياة كما يجب وجعل الله منازلكم عامرة بالخير دائمًا.,"Eid Al-Adha brings meaning, peace, and renewed faith. May your celebration be filled with blessings, warmth, and heartfelt joy that follows you through every path you take."
16,عيد الأضحى نافذة يطلّ منها القلب على عالم أوسع من الرجاء وتتوهج الروح بنور يليق بجمال الموسم وأسأل الله أن يعيده عليكم بالأمان واليُسر.,"Eid Al-Adha brings meaning, peace, and renewed faith. May your celebration be filled with blessings, warmth, and heartfelt joy that follows you through every path you take."
