section_id,message_ar,message_en
21,📚 هذا اليوم يشبه شروقًا جديدًا… يعلن أن القادم أجمل وأنك أهل له 📚 ويولد داخلك صوت يقول لك بثبات: أنت تستطيع 📚 مبارك لك هذا الإنجاز العظيم، ومنها لأعلى المراتب. 📚,"📚 Congratulations on your high school graduation! May your next chapter be filled with courage, opportunities, and success. 📚"
21,💛 التخرج من الثانوية ليس مجرد ورقة، بل شهادة صبر وسهر وثبات 💛 ويصبح المستقبل أوضح لأنك الآن مستعد 💛 أسأل الله أن يجعل دربك نورًا وتوفيقًا. 💛,"💛 Congratulations on your high school graduation! May your next chapter be filled with courage, opportunities, and success. 💛"
21,🎉 اليوم تودّع الفصول الدراسية، وتستقبل حياةً تصنعها بيديك 🎉 وتعلم أن النجاح يبدأ من قرار واحد: ألا تتوقف 🎉 مبروك التخرج، وأسأل الله أن يحقق لك أحلامك. 🎉,"🎉 Congratulations on your high school graduation! May your next chapter be filled with courage, opportunities, and success. 🎉"
21,🌈 تخرجك يعكس قوة بداخلك ربما لم تدركها إلا الآن 🌈 وتتفتح أمامك فرصٌ لم تكن تراها أمس 🌈 نسأل الله أن يفتح لك أبواب النجاح من حيث لا تحتسب. 🌈,"🌈 Congratulations on your high school graduation! May your next chapter be filled with courage, opportunities, and success. 🌈"
21,🔥 لحظة تخرجك تُشبه انتصارًا صغيرًا يحمل معه أحلامًا كبيرة 🔥 وتفهم أن كل جهدٍ بذلته كان طريقًا نحو نورٍ أكبر 🔥 مبروك، وجعل الله القادم أجمل مما تتصور. 🔥,"🔥 Congratulations on your high school graduation! May your next chapter be filled with courage, opportunities, and success. 🔥"
21,🤍 اليوم تبدأ قصتك الحقيقية… قصة تبنيها أنت وليس سواك 🤍 ويتحول الخوف إلى قوة تدفعك للمضيّ 🤍 جعله الله تخرجًا تُفتح به الأرزاق وتتحقق الأمنيات. 🤍,"🤍 Congratulations on your high school graduation! May your next chapter be filled with courage, opportunities, and success. 🤍"
21,🏆 التخرج من الثانوية خطوة أولى نحو عالم واسع ينتظر بصمت نجاحك 🏆 وينمو داخلك يقين بأنك على الطريق الصحيح 🏆 ألف مبروك، وجعل الله خطواتك القادمة نجاحًا فوق نجاح. 🏆,"🏆 Congratulations on your high school graduation! May your next chapter be filled with courage, opportunities, and success. 🏆"
21,🎓 التخرج من الثانوية لحظة تُثبت فيها أنك قادر على كتابة بداية جديدة تشبه طموحك اللامحدود 🎓 فتكبر الآمال في داخلك وتستيقظ الأحلام بثقة 🎓 فألف مبروك تخرجك، وجعل الله طريقك مليئًا بالخير. 🎓,"🎓 Congratulations on your high school graduation! May your next chapter be filled with courage, opportunities, and success. 🎓"
21,✨ اليوم تغادر مرحلة وتبدأ أخرى، تحمل في قلبك أحلامًا أكبر وجرأة أعظم ✨ وتشعر أن الطريق مهما طال… فأنت قادر على عبوره ✨ مبارك، وجعل الله مستقبلك مشرقًا كما تستحق. ✨,"✨ Congratulations on your high school graduation! May your next chapter be filled with courage, opportunities, and success. ✨"
21,🌟 تخرجك من الثانوية دليل أنك لم تتراجع رغم التعب، وأنك تستحق كل خطوة قادمة 🌟 وتضيء خطواتك القادمة بشجاعة لم تعرفها من قبل 🌟 بارك الله فيك وفي مسيرتك القادمة. 🌟,"🌟 Congratulations on your high school graduation! May your next chapter be filled with courage, opportunities, and success. 🌟"
21,📚 هذا اليوم يشبه شروقًا جديدًا… يعلن أن القادم أجمل وأنك أهل له 📚 ويولد داخلك صوت يقول لك بثبات: أنت تستطيع 📚 مبارك لك هذا الإنجاز العظيم، ومنها لأعلى المراتب. 📚,"📚 Congratulations on your high school graduation! May your next chapter be filled with courage, opportunities, and success. 📚"
21,💛 التخرج من الثانوية ليس مجرد ورقة، بل شهادة صبر وسهر وثبات 💛 ويصبح المستقبل أوضح لأنك الآن مستعد 💛 أسأل الله أن يجعل دربك نورًا وتوفيقًا. 💛,"💛 Congratulations on your high school graduation! May your next chapter be filled with courage, opportunities, and success. 💛"
21,🎉 اليوم تودّع الفصول الدراسية، وتستقبل حياةً تصنعها بيديك 🎉 وتعلم أن النجاح يبدأ من قرار واحد: ألا تتوقف 🎉 مبروك التخرج، وأسأل الله أن يحقق لك أحلامك. 🎉,"🎉 Congratulations on your high school graduation! May your next chapter be filled with courage, opportunities, and success. 🎉"
21,🌈 تخرجك يعكس قوة بداخلك ربما لم تدركها إلا الآن 🌈 وتتفتح أمامك فرصٌ لم تكن تراها أمس 🌈 نسأل الله أن يفتح لك أبواب النجاح من حيث لا تحتسب. 🌈,"🌈 Congratulations on your high school graduation! May your next chapter be filled with courage, opportunities, and success. 🌈"
21,🔥 لحظة تخرجك تُشبه انتصارًا صغيرًا يحمل معه أحلامًا كبيرة 🔥 وتفهم أن كل جهدٍ بذلته كان طريقًا نحو نورٍ أكبر 🔥 مبروك، وجعل الله القادم أجمل مما تتصور. 🔥,"🔥 Congratulations on your high school graduation! May your next chapter be filled with courage, opportunities, and success. 🔥"
21,🤍 اليوم تبدأ قصتك الحقيقية… قصة تبنيها أنت وليس سواك 🤍 ويتحول الخوف إلى قوة تدفعك للمضيّ 🤍 جعله الله تخرجًا تُفتح به الأرزاق وتتحقق الأمنيات. 🤍,"🤍 Congratulations on your high school graduation! May your next chapter be filled with courage, opportunities, and success. 🤍"
21,🏆 التخرج من الثانوية خطوة أولى نحو عالم واسع ينتظر بصمت نجاحك 🏆 وينمو داخلك يقين بأنك على الطريق الصحيح 🏆 ألف مبروك، وجعل الله خطواتك القادمة نجاحًا فوق نجاح. 🏆,"🏆 Congratulations on your high school graduation! May your next chapter be filled with courage, opportunities, and success. 🏆"
